V01: INTRADAY PROFILE OF ENTRY DAYS (T+2)

Events analyzed: 1113
Minute observations: 2,828,884

Lowest avg price: minute 297 (-0.13% from open)
Close avg: -0.06% from open
Potential savings (buy at low vs close): 0.07%

Average price path (% from open):
Minute     Time     Avg%     Med%  Winners   Losers
   281    14:11   -0.11%   -0.12%   +0.06%   -0.85%
   282    14:12   -0.12%   -0.12%   +0.06%   -0.86%
   283    14:13   -0.11%   -0.12%   +0.06%   -0.85%
   284    14:14   -0.11%   -0.12%   +0.06%   -0.84%
   285    14:15   -0.11%   -0.12%   +0.06%   -0.83%
   286    14:16   -0.09%   -0.10%   +0.08%   -0.82%
   287    14:17   -0.10%   -0.11%   +0.07%   -0.83%
   288    14:18   -0.10%   -0.10%   +0.07%   -0.83%
   289    14:19   -0.11%   -0.11%   +0.06%   -0.84%
   290    14:20   -0.10%   -0.09%   +0.07%   -0.83%
   291    14:21   -0.11%   -0.11%   +0.06%   -0.84%
   292    14:22   -0.11%   -0.10%   +0.07%   -0.86%
   293    14:23   -0.10%   -0.10%   +0.07%   -0.86%
   294    14:24   -0.11%   -0.10%   +0.07%   -0.87%
   295    14:25   -0.12%   -0.11%   +0.06%   -0.88%
   296    14:26   -0.12%   -0.10%   +0.06%   -0.88%
   297    14:27   -0.13%   -0.10%   +0.05%   -0.89%
   298    14:28   -0.12%   -0.10%   +0.05%   -0.90%
   299    14:29   -0.12%   -0.11%   +0.06%   -0.92%
   300    14:30   -0.11%   -0.11%   +0.07%   -0.92%
   301    14:31   -0.12%   -0.11%   +0.07%   -0.93%
   302    14:32   -0.12%   -0.11%   +0.07%   -0.95%
   303    14:33   -0.11%   -0.12%   +0.08%   -0.93%
   304    14:34   -0.11%   -0.12%   +0.09%   -0.94%
   305    14:35   -0.10%   -0.11%   +0.10%   -0.95%
   306    14:36   -0.11%   -0.12%   +0.09%   -0.96%
   307    14:37   -0.10%   -0.10%   +0.09%   -0.96%
   308    14:38   -0.09%   -0.09%   +0.11%   -0.95%
   309    14:39   -0.09%   -0.08%   +0.12%   -0.96%
   310    14:40   -0.10%   -0.09%   +0.10%   -0.98%
   311    14:41   -0.10%   -0.09%   +0.10%   -0.98%
   312    14:42   -0.11%   -0.09%   +0.10%   -0.99%
   313    14:43   -0.11%   -0.10%   +0.09%   -0.98%
   314    14:44   -0.10%   -0.09%   +0.10%   -0.97%
   315    14:45   -0.09%   -0.08%   +0.11%   -0.98%
   316    14:46   -0.09%   -0.08%   +0.11%   -0.95%
   317    14:47   -0.09%   -0.08%   +0.10%   -0.94%
   318    14:48   -0.10%   -0.09%   +0.09%   -0.95%
   319    14:49   -0.10%   -0.08%   +0.10%   -0.95%
   320    14:50   -0.09%   -0.08%   +0.11%   -0.94%
   321    14:51   -0.09%   -0.08%   +0.11%   -0.93%
   322    14:52   -0.09%   -0.09%   +0.11%   -0.94%
   323    14:53   -0.10%   -0.09%   +0.10%   -0.94%
   324    14:54   -0.10%   -0.09%   +0.09%   -0.92%
   325    14:55   -0.09%   -0.09%   +0.11%   -0.93%
   326    14:56   -0.08%   -0.08%   +0.12%   -0.95%
   327    14:57   -0.06%   -0.08%   +0.14%   -0.94%
   328    14:58   -0.06%   -0.08%   +0.14%   -0.95%
   329    14:59   -0.07%   -0.08%   +0.14%   -0.95%
   330    15:00   -0.05%   -0.07%   +0.16%   -0.93%
   331    15:01   -0.03%   -0.07%   +0.17%   -0.93%
   332    15:02   -0.05%   -0.08%   +0.15%   -0.94%
   333    15:03   -0.08%   -0.08%   +0.12%   -0.94%
   334    15:04   -0.07%   -0.08%   +0.13%   -0.93%
   335    15:05   -0.08%   -0.08%   +0.12%   -0.91%
   336    15:06   -0.08%   -0.08%   +0.12%   -0.92%
   337    15:07   -0.08%   -0.08%   +0.12%   -0.93%
   338    15:08   -0.07%   -0.08%   +0.13%   -0.93%
   339    15:09   -0.08%   -0.09%   +0.12%   -0.96%
   340    15:10   -0.07%   -0.08%   +0.14%   -0.95%
