minute,avg_price,median_price,std_price,p25_price,p75_price,avg_volume,count,avg_winners,avg_losers,avg_small_drop,avg_medium_drop,avg_big_drop
254,-0.00023191971788868283,-0.0006741951795043999,0.02524481384620421,-0.013351749539594837,0.012641975308641973,55752.724907067764,7425,0.0014993143084263483,-0.007702126382618109,4.1516574391159914e-05,-0.0008283300674210191,-0.0007907103243613229
255,-0.00010224289173456987,-0.0005415488296528492,0.025260842110570968,-0.01313761998453239,0.012687096511868834,60903.357401403264,7439,0.0016198863200690317,-0.007550420914438478,0.0001456412127574207,-0.0005858828443505707,-0.0006945369451462547
256,-0.00011364993020345904,-0.0005512679162072986,0.025453851242961838,-0.01330120404333296,0.012782604163248057,60124.71771856435,7439,0.001591162781497476,-0.00748044076810428,0.00015390190044997572,-0.0006182716911341611,-0.0007741030358993699
257,-0.0001375933974714599,-0.0005120327700973704,0.02540929307506128,-0.013361338736126105,0.012825352811724366,61714.95293984816,7435,0.0015623496910646916,-0.007504419938251152,0.0001131042896675541,-0.0006419320819703994,-0.000712510238798766
258,-0.00012080001310139076,-0.0005666525003542588,0.025460015905647632,-0.013417361258966642,0.012783993295621299,57206.9545685241,7423,0.0015901861762079121,-0.007514222772353346,0.00015055519578788574,-0.0006238531025526041,-0.0008016735511907368
259,-0.00016328655353663445,-0.0004716981132075748,0.025359351662117075,-0.013481032500783807,0.01281888564538658,59447.37995722374,7421,0.0015526953827968044,-0.007575836480665884,9.070286096110773e-05,-0.0006746635766201126,-0.000740038910860237
260,-0.00015612969683035565,-0.0006000812092296637,0.025409241870053174,-0.013308489974582477,0.012758949694364474,59471.98056603926,7432,0.0015583172431572756,-0.007575567816332383,0.00010428763256342418,-0.000589262940124817,-0.0008869290181241036
261,-0.00024188883406353053,-0.0007085634959654863,0.025449372282481265,-0.013517056197364208,0.012840128756343216,58687.624056529385,7423,0.0014870815443841286,-0.007713023917420154,5.035920967883746e-05,-0.0007576851398115355,-0.001016209828509843
262,-0.00024553849540996013,-0.0006565447200430063,0.02540552931305682,-0.013370975989627915,0.012888806499979921,56688.231713229005,7418,0.0015077358315405836,-0.007842220284432912,8.683370857659916e-05,-0.0007248242931973507,-0.0012776345395433487
263,-0.00021710430619412623,-0.000663525977042001,0.025473499122738174,-0.013561004053667669,0.012784876546277135,55887.80683237828,7427,0.0015148733787587268,-0.00775938636611859,7.037084494358895e-05,-0.0006618019606571806,-0.0010688815082509483
264,-0.00025300077177522107,-0.0006887382686478483,0.025410316141062286,-0.013512087435683884,0.01271704155626796,56391.70643539823,7422,0.0014990714646725071,-0.007849512387890426,5.827989404143189e-05,-0.0007393450529626001,-0.0011690618427938216
265,-0.00028763831651496344,-0.0007531764397677998,0.02544611936840113,-0.013486514161576757,0.012767512225066113,59095.5359755435,7423,0.0014679934827672373,-0.007853934161060928,4.056350394712391e-06,-0.0007285686528617648,-0.0011689508816986104
266,-0.00025188574125200566,-0.0007211253283621044,0.02543213274174569,-0.013374181074147395,0.01269980886620492,58650.37911935938,7435,0.0014929883103944285,-0.007800090897335684,3.803905279592711e-05,-0.0007804827323982058,-0.0009918780206752795
267,-0.0003348849755373886,-0.0007445329432172465,0.025449010865827192,-0.013560218702865834,0.01273484457135049,57601.39552661934,7424,0.0013973975717676353,-0.007841442680525824,-2.5297101941613708e-05,-0.0008186781720194296,-0.0012459631495789533
268,-0.00037110317860555576,-0.0006945321378960534,0.02553726819842655,-0.013484899141870121,0.012692946805741956,55146.67848839019,7429,0.0013503224004445071,-0.007797367604393059,-1.8670226127909413e-06,-0.0009181078512897481,-0.0015015977295487401
269,-0.0003465979763400398,-0.0006843072174495535,0.025548753419196376,-0.013547132531409461,0.012592574333355089,55649.82861513891,7420,0.0014068520286178567,-0.007913061321516522,-1.3717883898428518e-05,-0.000923839284411044,-0.001240628502543434
270,-0.00041163724367323287,-0.0006713662302786361,0.02561447782631404,-0.013791337430494766,0.012580090639162211,71691.10177543512,7437,0.0013613283558026464,-0.008077143486217478,-8.877627852082784e-05,-0.0009895270677649805,-0.0012576016778733158
271,-0.0005444215726754776,-0.0008071172123448878,0.025507600177394136,-0.013872704811773995,0.012511110931168135,68129.93393464547,7440,0.001219129427909706,-0.008199980008094432,-0.0001426249989186028,-0.0011193971730512255,-0.0018107682413159997
272,-0.0006296754511904152,-0.0008692433970533542,0.02555702980313799,-0.013880715749095496,0.012532814385429747,63317.99788199742,7428,0.0011494567108116312,-0.00833073963018636,-0.00018230857931573303,-0.0013070160189239497,-0.0019697616845927735
273,-0.0007350882811225934,-0.0009486746897612308,0.02554173689445924,-0.013963652482269384,0.01247570685223498,61609.17726250403,7429,0.0010263417851142725,-0.008367530405893392,-0.00027257110945781753,-0.001417168573804026,-0.002152600498549525
274,-0.0007526963654559349,-0.0009844559585492352,0.02559239391805268,-0.014049187375846928,0.012397991211550607,60764.20881231858,7429,0.001037037206646158,-0.008521503919986802,-0.00024795397321920426,-0.0014729645108317562,-0.0023428725906421708
275,-0.0007753265540247589,-0.0010206565653599342,0.025428993682789117,-0.013965716195547206,0.012380456800609063,64972.246120336924,7436,0.001020910456419187,-0.00854016213460528,-0.0003309605507604164,-0.0014537661558463111,-0.002110649006815935
276,-0.0008380206795721696,-0.001088185151286447,0.025472981162591668,-0.014238337320574113,0.012372671483639686,64881.804082338625,7436,0.0009810453820727541,-0.008736321884013203,-0.000388799552566189,-0.0015979059893231,-0.002078933077025826
277,-0.0009145101191881464,-0.0010636016951026117,0.025553185326421226,-0.014151396917218312,0.012311870270103442,62363.46977622969,7424,0.0008717521046120191,-0.008648140752166465,-0.0003948162757612021,-0.0017253218477392312,-0.0024474070185291127
278,-0.0010613554308994619,-0.0012262113494880822,0.02572063723351198,-0.014227508973853609,0.012245138038009362,59670.53309556334,7434,0.000744966208694605,-0.008867199194843186,-0.00046947549031265383,-0.0019176396251202716,-0.002903517115583999
279,-0.0010662893626755337,-0.001017432230994264,0.025672956641874026,-0.01419352190717102,0.01233208736486241,59421.57581045408,7426,0.0007017323021435425,-0.008716724572280031,-0.00043972043285798676,-0.0018945319392045202,-0.003125838033446979
280,-0.0011107451972409694,-0.001266784899923934,0.0258268365312041,-0.014279351272041274,0.012374049849743773,65032.76638439908,7429,0.0006028739673203998,-0.00852291583449065,-0.0004695573048203492,-0.0019081232741822855,-0.003292005346198174
281,-0.0011412484254418119,-0.0012076435092061022,0.025767494773345438,-0.014238410596026485,0.012440661319364832,62726.52590339343,7433,0.0005709592049473236,-0.008545687870040099,-0.0004856174986839039,-0.001977872773795013,-0.0033480545539059867
282,-0.0011527594546688002,-0.0012192484494151223,0.02586652807851767,-0.014336671346528634,0.01242123569714959,58467.86447320699,7428,0.00055739679696892,-0.00856179964033545,-0.0004731495669663429,-0.001882119572931544,-0.003631132608696947
